# Bronchi -- 21 cell types >= 500 cells. Fill GOLD_CURIE from the markers.
# Where the markers contradict the label, the markers decide; say so in NOTE.
# Leave GOLD_CURIE empty to abstain -- abstention is explicit and is not
# scored as a miss. Do not copy label_resolves_to: that is what is being tested.
cell_type	n_cells	markers_top50	label_resolves_to	resolved_name	expression_candidates	GOLD_CURIE	GOLD_NAME	NOTE
NK cell	2717	FGFBP2;SYTL3;KLRF1;KLRB1;IL2RB;CLIC3;PRF1;CMC1;SPON2;KLRC1;SH2D2A;GNLY;S1PR5;GZMB;CHST12;KLRD1;DUSP2;RUNX3;CD247;NCR3;GPR65;DDIT4;APMAP;APOBEC3G;TTC38;CREM;ABI3;GZMH;SNHG6;PSMB10;PYHIN1;MYOM2;PVRIG;PTGER2;PARP8;SH2D1B;CST7;MATK;TNFRSF1B;GZMA;GABPB1-IT1;AOAH;ABHD17A;TBX21;ISG20;PCED1B-AS1;TOMM6;ARID5A;GNG2;FCRL6	CL:0000623	natural killer cell	CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell | CL:0000939 CD16-positive, CD56-dim natural killer cell, human | CL:0001065 innate lymphoid cell | CL:0000938 CD16-negative, CD56-bright natural killer cell, human			
Monocyte	2597	CCL3;HLA-DQA2;C15orf48;RAB32;CD83;ATP2B1-AS1;RENBP;CCL4;TNF;MS4A6A;RGS2;MAFB;CD84;UBE2D1;IL1B;STX11;GPR65;LACTB;IFNGR2;LILRB4;PLEK;FCN1;VMA21;FAM174C;MSRA;SLC2A3;GPR34;RNASE6;ABL2;RNF130;RHOG;ADAP2;CREG1;C3AR1;TXNDC12;PLA2G7;SDF2L1;HAVCR2;CLEC4A;CXCL3;STAT1;DUSP2;CTNNBL1;MFSD1;PRXL2C;GLIPR1;SMIM30;TNFSF13B;FGL2;ARID5A	CL:0001054	CD14-positive monocyte	CL:0000890 M2 macrophage | CL:0000841 mature conventional dendritic cell | CL:0002396 CD14-low, CD16-positive monocyte | CL:0000938 CD16-negative, CD56-bright natural killer cell, human | CL:0002399 CD1c-positive myeloid dendritic cell			
Plasmacytoid dendritic cell	2113	PARAL1;GPRIN3;IL3RA;C8B;ITGAX;TMEM273;ERAP2;FFAR4;DDX60L;COLGALT1;RPS6KA1;SIDT2;MYD88;FKBP15;KCNAB2;SIRPA;ARAP1;MYO1F;GPD1;DOCK8;UNC93B1;MOB3B;IFIT2;TRIM14;OSBPL11;NCKAP1L;IMPDH1;GGA2;OSCAR;ADGRE5;THEMIS2;STAC;MME;SORT1;RNPEPL1;ADAMTSL4;MX1;NCEH1;FNDC3B;DOCK11;SLC15A3;EMILIN2;SLFN11;CD300LF;TCIRG1;TGFB1;TGM2;IFIT3;ACO1;TGFBI	CL:0000784	plasmacytoid dendritic cell	CL:0000841 mature conventional dendritic cell | CL:0000784 plasmacytoid dendritic cell | CL:4033043 lung interstitial macrophage | CL:4033042 metallothionein-positive alveolar macrophage | CL:4033018 lung megakaryocyte			
Neutrophilic granulocyte	2026	CD300E;MAFB;FCN1;CFP;LILRB2;TNFRSF1B;LILRA5;RGS2;S100A12;MPEG1;FPR1;TRAPPC5;CLEC4E;GPX1;SMOC2;IL1B;AQP7;CALHM6;FGL2;LRRC25;MS4A6A;ACSL1;LILRB1;ADGRE2;TNFSF13B;RNF144B;TOMM6;LILRB3;C19orf38;THBS1;APOBEC3A;CYRIA;RAB24;C3AR1;C5AR1;NAAA;SLC2A3;BCL2A1;TLR2;IL10RA;MFSD1;IFNGR2;SNHG5;CD300A;FGR;GLIPR1;PSMB10;CD86;TBXAS1;CLEC7A	CL:0000775	neutrophil	CL:0002396 CD14-low, CD16-positive monocyte | CL:0001054 CD14-positive monocyte | CL:0002057 CD14-positive, CD16-negative classical monocyte | CL:0000860 classical monocyte | CL:0000875 non-classical monocyte			
Epithelial progenitor cell	1949	FOSL1;MIR222HG;DUSP5;LAMC2;WDR43;PLAU;KRT17;LRRC8A;ITGA2;SMAD3;PMAIP1;SERPINB5;IRF6;ITGB8;DENND2C;CLDN1;PAWR;FGFBP1;CDKN1A;GADD45A;ANKLE2;KRT6A;UGCG;LUZP1;BCL10;HS3ST1;ARHGEF35;BAG3;RAP2B;EPHA2;GJB2;CXCL1;HBEGF;TES;GJB3;KLHL21;FHL2;NFAT5;NFKB1;PER2;SLC20A2;VEGFA;PPP4R1;TXNRD1;CTTNBP2NL;PUM3;SPSB1;FOSL2;PPTC7;VPS37B	CL:0000066	epithelial cell	CL:4033048 respiratory tract suprabasal cell | CL:0000083 epithelial cell of pancreas | CL:0002064 pancreatic acinar cell | CL:1001433 epithelial cell of exocrine pancreas | CL:0000987 IgA plasma cell			
Naive CD4 T cell	1189	PRDM1;BATF;LIME1;PTGER4;SOCS1;CXCR6;RGS1;CLEC2D;GPR171;SEPTIN1;LINC00892;SNHG5;PBXIP1;CXCR4;CD40LG;APOBEC3G;TUBA4A;SNHG6;EMB;GPR183;TOMM6;ZC3HAV1;XCL1;PIK3IP1;TNFSF8;SEPTIN9;SEPTIN6;TRAT1;TAGAP;IKZF3;NIBAN1;TNFRSF1B;GAS5;SAMSN1;CD69;BIRC3;CREM;GABPB1-IT1;IL10RA;RESF1;TSPYL2;CD6;PCED1B-AS1;IL7R;PSMB10;DDIT4;EVI2A;ARID5A;CCDC107;NR3C1	CL:0000895	naive thymus-derived CD4-positive, alpha-beta T cell	CL:0000903 natural T-regulatory cell | CL:0000792 CD4-positive, CD25-positive, alpha-beta regulatory T cell | CL:0000906 activated CD8-positive, alpha-beta T cell | CL:0000905 effector memory CD4-positive, alpha-beta T cell | CL:0000897 CD4-positive, alpha-beta memory T cell			
Cytotoxic T cell	1108	GPR183;SLC2A3;RGS2;TAGAP;ARID5A;TRBC2;TRAC;IGFLR1;RGS1;DUSP2;SMOC2;CREM;FNBP1;EMB;BIRC3;TSPYL2;ZNF331;PSMB10;CCM2;WIPF1;CELF2;CLK1;SH3KBP1;TRBC1;STK4;PDE4B;SSR1;EVI2A;PLEKHO1;EPC1;GPR65;CHMP4A;ANKRD44;RUNX3;ZC3HAV1;TNFRSF14;CCDC107;CYLD;PPP1R2;PIM2;GLIPR1;IKZF1;SERPINB9;CDC42SE1;TAOK3;PPP2R5C;SEC14L2;COMMD8;ITGB1BP1;SDF2L1	CL:0000910	cytotoxic T cell	CL:0000775 neutrophil | CL:0000094 granulocyte | CL:0000081 blood cell | CL:0001078 group 3 innate lymphoid cell, human | CL:0001058 plasmacytoid dendritic cell, human			
Lymphatic endothelial cell	1067	ACKR1;PLVAP;SNCG;ADM5;RBP7;COL15A1;NRN1;TM4SF18;MEOX1;NOSTRIN;CTHRC1;ADGRL4;DIPK2B;VWF;MMRN1;ZNF385D;TSPAN7;CCL23;LIFR;TGFBR2;CCL14;CFI;EMCN;SPHK1;JAM2;GIMAP1;CYTL1;SYT15;ENPP2;ARL2;HAPLN3;MMRN2;CLU;PDE2A;LINC01116;IPO11;GIMAP6;IFI44L;ADCY4;ERG;FAM13C;OLFM1;PDIA5;GIMAP7;COX7A1;FZD4;SOCS2;AQP1;CSRP2;ENG	CL:0002138	endothelial cell of lymphatic vessel	CL:4033008 vein endothelial cell of respiratory system | CL:0002543 vein endothelial cell | CL:0000071 blood vessel endothelial cell | CL:0000076 squamous epithelial cell | CL:0009086 endothelial cell of respiratory system lymphatic vessel			
Vascular smooth muscle cell	861	PLN;MYH11;ACTG2;KCNA5;MAP3K7CL;FRZB;IL17B;CRYAB;SERPINI1;MSRB3;CNN1;ISYNA1;NTRK3;TAGLN;MAP3K20;CSRP2;TINAGL1;MYLK;KCNMB1;ANTXR1;LINC00672;HSPB2;NTF3;CASQ2;LMOD1;ALDH1A2;PPP1R14A;MCAM;ALDOC;ID4;TNNT2;RERGL;PDLIM7;ZFHX3;SLIT1;HEY2;C1orf198;BTC;ARID5A;HACD1;BCHE;CDH6;FOXS1;PTK2;GNG2;CCDC3;EDNRB;PRDM6;CARMN;ILK	CL:0000359	vascular associated smooth muscle cell	CL:4033017 bronchiolar smooth muscle cell | CL:0002598 bronchial smooth muscle cell | CL:0019019 tracheobronchial smooth muscle cell | CL:0002591 smooth muscle cell of the pulmonary artery | CL:0000187 muscle cell			
Fibroblast	838	PRELP;INMT;RNASE4;PTGDS;FILIP1L;PLTP;PLPP3;FIBIN;ABI3BP;SLIT2;AEBP1;FSTL3;C1S;DKK3;PDLIM3;CCL2;SERPINA3;NKD2;MXRA8;ADAMTS8;HSD11B1;MAMDC2;CCN2;SCN7A;CXCL10;C1R;SEPTIN7;ADAMTS1;CHRDL1;AOC3;TSPAN8;MYADM;CRISPLD2;SNHG29;EFEMP1;VASN;GAS5;FBLN5;RGS2;THBS1;FGFR4;TMEM35B;MMP19;ANGPTL1;MYH10;ANGPT1;LTBP3;SSPN;LMCD1;PDLIM2	CL:0000057	fibroblast	CL:4052030 adventitial fibroblast | CL:4028004 alveolar type 1 fibroblast cell | CL:0002598 bronchial smooth muscle cell | CL:4028006 alveolar adventitial fibroblast | CL:0002241 pulmonary interstitial fibroblast			
NKT cell	706	KLRG1;GZMH;KLRC2;APOBEC3G;CMC1;TIGIT;SNHG6;SNHG5;CCL5;TOMM6;PIK3R1;CHST12;SH2D2A;KLRD1;DUSP2;LYAR;PVRIG;GNLY;GPR65;LIME1;ISG20;PYHIN1;IL10RA;RUNX3;PTPN4;BTN3A2;KLRF1;PSMB10;CLEC2D;CASP8;ABI3;KLRC3;LAG3;FGFBP2;PLAAT4;S1PR5;APMAP;TNFRSF1B;FCRL6;CD48;PARP8;AKNA;S1PR4;GIMAP1;GAS5;MATK;GZMK;WIPF1;PRDM1;TAGAP	CL:0000814	mature NK T cell	CL:0001062 effector memory CD8-positive, alpha-beta T cell, terminally differentiated | CL:0000900 naive thymus-derived CD8-positive, alpha-beta T cell | CL:0000794 CD8-positive, alpha-beta cytotoxic T cell | CL:0000623 natural killer cell | CL:0001067 group 1 innate lymphoid cell			
